Anchor_ID,Similarity_of_a,Similarity_of_b,Closer,True_Closer,Correctness_Score
0,0.5389008124669393,0.765795111656189,b,b,0.22689429918924964
1,0.5139656464258829,0.6895476579666138,b,b,0.17558201154073083
2,0.5669727325439453,0.7809997002283732,b,b,0.21402696768442786
3,0.7392228841781616,0.643900473912557,a,a,0.09532241026560462
4,0.7518202066421509,0.6031286319096884,a,a,0.14869157473246253
5,0.5527956287066141,0.7565123637517294,b,b,0.20371673504511523
6,0.5705335934956869,0.7662749290466309,b,b,0.19574133555094397
7,0.7033483584721884,0.4848141173521678,a,a,0.21853424112002057
8,0.7320347627003988,0.6122841437657675,a,a,0.11975061893463135
9,0.6822499831517538,0.606887141863505,a,a,0.07536284128824877
10,0.8183697462081909,0.6747217178344727,a,a,0.14364802837371826
11,0.5375562508900961,0.7306518952051798,b,b,0.19309564431508375
12,0.7568411429723104,0.6760135889053345,a,a,0.08082755406697595
13,0.6830167373021444,0.5771844387054443,a,a,0.10583229859670007
14,0.8267654180526733,0.6387268304824829,a,a,0.18803858757019043
15,0.5159436464309692,0.7554659048716227,b,b,0.23952225844065345
16,0.6944731076558431,0.840560515721639,b,b,0.1460874080657959
17,0.6290013392766317,0.6732592185338339,b,b,0.04425787925720215
18,0.7107677459716797,0.48180346687634784,a,a,0.22896427909533185
19,0.6608221928278605,0.7461571296056112,b,b,0.08533493677775073
20,0.42463767528533936,0.8397239446640015,b,b,0.4150862693786621
21,0.6444025834401449,0.5475713809331259,a,a,0.09683120250701904
22,0.6520393490791321,0.7989058494567871,b,b,0.14686650037765503
23,0.6421612103780111,0.8356551726659139,b,b,0.19349396228790283
24,0.5859951575597128,0.8531044721603394,b,b,0.2671093146006266
25,0.6270527839660645,0.8064626455307007,b,b,0.17940986156463623
26,0.6863489548365275,0.48431411385536194,a,a,0.20203484098116553
27,0.6273074944814047,0.8291641076405843,b,b,0.2018566131591797
28,0.7691067059834799,0.5960283080736796,a,a,0.17307839790980029
29,0.6187635064125061,0.4741229712963104,a,a,0.14464053511619568
30,0.7219260533650717,0.8563066323598226,b,b,0.13438057899475098
31,0.4900880753993988,0.7649943828582764,b,b,0.27490630745887756
32,0.7723810275395712,0.580557624499003,a,a,0.1918234030405681
33,0.7352871497472128,0.5285516182581583,a,a,0.20673553148905444
34,0.5260101159413656,0.6513084967931112,b,b,0.1252983808517456
35,0.6355168422063192,0.7239919503529867,b,b,0.08847510814666748
36,0.7080646753311157,0.5752505461374918,a,a,0.1328141291936239
37,0.6788825988769531,0.7259277105331421,b,b,0.047045111656188965
38,0.5705787936846415,0.6926207145055135,b,b,0.12204192082087206
39,0.7715477148691813,0.5898254911104838,a,a,0.1817222237586975
40,0.5559133291244507,0.6911292473475138,b,b,0.13521591822306311
41,0.7550164063771566,0.5996600786844889,a,a,0.15535632769266772
42,0.5717699925104777,0.6656808853149414,b,b,0.09391089280446374
43,0.6922105550765991,0.5103408098220825,a,a,0.1818697452545166
44,0.6122084856033325,0.8374236424763998,b,b,0.22521515687306726
45,0.7956570386886597,0.6381275256474813,a,a,0.15752951304117835
46,0.6574302315711975,0.8378681341807047,b,b,0.1804379026095072
47,0.6044499278068542,0.6878846486409506,b,b,0.08343472083409631
48,0.7556025187174479,0.5301676591237386,a,a,0.22543485959370924
49,0.6070555051167806,0.7627877791722616,b,b,0.15573227405548096
50,0.624236265818278,0.7224522431691488,b,b,0.09821597735087084
51,0.7853620847066244,0.5707844893137614,a,a,0.21457759539286303
52,0.5692940950393677,0.702387809753418,b,b,0.1330937147140503
