i,sim_a,sim_b,true_a_closer,estimate_a_closer
0,0.07692307692307693,0.10526315789473684,False,False
1,0.058823529411764705,0.05128205128205128,True,True
2,0.03389830508474576,0.030303030303030304,True,True
3,0.03508771929824561,0.0,True,True
4,0.09090909090909091,0.0,False,True
5,0.0625,0.0,True,True
6,0.0,0.044444444444444446,False,False
7,0.0,0.05,True,False
8,0.05405405405405406,0.0,True,True
9,0.06060606060606061,0.043478260869565216,False,True
10,0.0,0.0,False,True
11,0.0,0.0,False,True
12,0.12903225806451613,0.04878048780487805,True,True
13,0.05405405405405406,0.03333333333333333,False,True
14,0.05555555555555555,0.029411764705882353,True,True
15,0.0,0.05263157894736842,False,False
16,0.0,0.07142857142857142,False,False
17,0.03125,0.043478260869565216,False,False
18,0.05555555555555555,0.0,True,True
19,0.09523809523809523,0.07692307692307693,False,True
20,0.05970149253731343,0.16666666666666666,False,False
21,0.0,0.08333333333333333,False,False
22,0.0851063829787234,0.0,False,True
23,0.06060606060606061,0.0,False,True
24,0.0,0.0,False,True
25,0.06060606060606061,0.11428571428571428,True,False
26,0.06060606060606061,0.12121212121212122,False,False
27,0.04081632653061224,0.08333333333333333,True,False
28,0.10526315789473684,0.07407407407407407,False,True
29,0.05128205128205128,0.0,True,True
30,0.0784313725490196,0.0,False,True
31,0.0851063829787234,0.038461538461538464,False,True
32,0.05263157894736842,0.09090909090909091,True,False
33,0.08163265306122448,0.07272727272727272,False,True
34,0.0,0.06666666666666667,True,False
35,0.0,0.0,False,True
36,0.0,0.0,False,True
37,0.13793103448275862,0.1111111111111111,True,True
38,0.0,0.0625,False,False
