i,n,a,b,true_a_closer,estimate_a_closer
0,1.0,0.06896551724137931,0.0392156862745098,False,True
1,1.0,0.03333333333333333,0.0392156862745098,True,False
2,1.0,0.029850746268656716,0.1048951048951049,True,False
3,1.0,0.06422018348623854,0.03488372093023256,True,True
4,1.0,0.02127659574468085,0.04081632653061224,False,False
5,1.0,0.06172839506172839,0.023809523809523808,True,True
6,1.0,0.07142857142857142,0.09473684210526316,False,False
7,1.0,0.05263157894736842,0.07692307692307693,True,False
8,1.0,0.04285714285714286,0.053763440860215055,True,False
9,1.0,0.045454545454545456,0.064,False,False
10,1.0,0.04672897196261682,0.04316546762589928,False,True
11,1.0,0.021739130434782608,0.08064516129032258,False,False
12,1.0,0.0821917808219178,0.01818181818181818,True,True
13,1.0,0.060109289617486336,0.06818181818181818,False,False
14,1.0,0.0546448087431694,0.03932584269662921,True,True
15,1.0,0.04040404040404041,0.03571428571428571,False,True
16,1.0,0.05555555555555555,0.041666666666666664,False,True
17,1.0,0.06474820143884892,0.06593406593406594,False,False
18,1.0,0.011627906976744186,0.025974025974025976,True,False
19,1.0,0.018867924528301886,0.034482758620689655,False,False
20,1.0,0.030303030303030304,0.07,False,False
21,1.0,0.058823529411764705,0.00980392156862745,False,True
22,1.0,0.04,0.015037593984962405,False,True
23,1.0,0.08571428571428572,0.0847457627118644,False,True
24,1.0,0.009708737864077669,0.037037037037037035,False,False
25,1.0,0.05333333333333334,0.1095890410958904,True,False
26,1.0,0.08,0.0875,False,False
27,1.0,0.050724637681159424,0.04195804195804196,True,True
28,1.0,0.038461538461538464,0.05714285714285714,False,False
29,1.0,0.022556390977443608,0.04938271604938271,True,False
30,1.0,0.06329113924050633,0.03488372093023256,False,True
31,1.0,0.02702702702702703,0.0364963503649635,False,False
32,1.0,0.026785714285714284,0.05660377358490566,True,False
33,1.0,0.0873015873015873,0.09448818897637795,False,False
34,1.0,0.027777777777777776,0.043478260869565216,True,False
35,1.0,0.06481481481481481,0.05434782608695652,False,True
36,1.0,0.06944444444444445,0.04878048780487805,False,True
37,1.0,0.043478260869565216,0.03896103896103896,True,True
38,1.0,0.16326530612244897,0.05,False,True
