i,order_sim_a,order_sim_b,content_sim_a,content_sim_b,true_a_closer,predicted_a_closer
0,0.269,0.158,0.479,0.555,False,False
1,0.118,0.154,0.518,0.598,True,False
2,0.203,0.121,0.512,0.536,True,True
3,0.281,0.059,0.535,0.422,True,True
4,0.182,0.105,0.365,0.279,False,True
5,0.25,0.207,0.492,0.492,True,True
6,0.061,0.133,0.354,0.596,False,False
7,0.0,0.05,0.264,0.354,True,False
8,0.162,0.077,0.401,0.333,True,True
9,0.182,0.217,0.586,0.637,False,False
10,0.087,0.05,0.443,0.4,False,True
11,0.067,0.089,0.395,0.377,False,True
12,0.194,0.098,0.621,0.53,True,True
13,0.027,0.067,0.472,0.449,False,True
14,0.194,0.059,0.515,0.512,True,True
15,0.065,0.158,0.332,0.573,False,False
16,0.258,0.143,0.496,0.567,False,False
17,0.125,0.087,0.476,0.477,False,True
18,0.111,0.062,0.515,0.352,True,True
19,0.095,0.077,0.352,0.352,False,True
20,0.149,0.25,0.655,0.638,False,False
21,0.13,0.25,0.59,0.573,False,False
22,0.17,0.098,0.527,0.519,False,True
23,0.182,0.071,0.551,0.41,False,True
24,0.062,0.154,0.293,0.354,False,False
25,0.182,0.171,0.427,0.528,True,False
26,0.061,0.242,0.444,0.44,False,False
27,0.163,0.167,0.519,0.51,True,True
28,0.158,0.148,0.522,0.386,False,True
29,0.154,0.087,0.605,0.503,True,True
30,0.157,0.0,0.525,0.273,False,True
31,0.255,0.154,0.592,0.592,False,True
32,0.053,0.136,0.565,0.521,True,True
33,0.122,0.218,0.596,0.56,False,False
34,0.0,0.2,0.372,0.564,True,False
35,0.1,0.065,0.408,0.307,False,True
36,0.114,0.047,0.446,0.438,False,True
37,0.207,0.222,0.551,0.59,True,False
38,0.171,0.25,0.636,0.489,False,True
